feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-000,359.10876783781686,359.1305908171334,359.0901221835452,0.010954717073412978,543.8463735187979,561.2708790330984,546.6978027845545,539.9411557086032,528.714226872086,1.6839009587493627
FT-001,357.1095460532417,357.13001776258693,357.0918708763458,0.010667719652481632,543.8391573306372,563.0215297861308,546.9480172636777,540.0389236227292,528.530310569924,1.6622899874053185
FT-002,889.6499309783783,889.7022159640214,889.6015469549808,0.025552376049453276,609.0997423566134,627.7172511456954,611.7465009922388,606.4265533909693,596.7890463679698,1.324647395195849
FT-003,355.11192836605056,355.13277183397463,355.093652971269,0.010507618515314848,543.9952686842126,566.9512848143872,547.1645032631232,540.6818824875846,526.9432134831192,1.6090714270597912
FT-004,888.6453654740943,888.696941107057,888.6002022302245,0.02616116245895086,609.2556518766722,632.996441523236,612.0087323125949,606.7788089451603,595.4616877237953,1.2546838991479563
FT-005,886.6324598613013,886.683374655879,886.5806672354295,0.026028968553676802,609.4612894305731,638.0671635917994,612.0676440481267,606.7118780336342,593.3752149084339,1.2871308303822482
FT-006,887.6403722304062,887.6915980212889,887.5931182401197,0.02641128273209496,609.3874587233016,637.95713424683,612.0491366757302,606.703800297612,594.2041830964115,1.275730582215387
FT-007,1051.7428230998376,1051.8068419482154,1051.6884774309774,0.029811496953238318,753.1931299912063,769.2830906743592,755.954961975586,750.5326793002214,740.815522359763,1.2930408108826212
FT-008,1050.739663862885,1050.8005431176773,1050.6860904366201,0.031277096768855345,753.4570032840134,778.2359707740052,756.2428605858503,750.7624984432473,739.0393890873064,1.2978240632867017
FT-009,1049.7326640547776,1049.793638635969,1049.6793811125096,0.030902566626083247,753.5937523711316,783.2621119572547,756.1852169737052,751.1297724848172,737.9808130369114,1.236248501679714
FT-010,1048.7247997662084,1048.78595409864,1048.6698763776742,0.030825071784168476,753.8246143446223,789.1346398643811,756.4360118983379,751.049813858065,736.9196307140818,1.2868549250467392
FT-011,1211.8279152595003,1211.899520416236,1211.762666802262,0.03630399366347457,874.6133425350365,886.9604836740813,876.7821117479145,872.0452383104141,863.3168395873045,1.2291365451074237
FT-012,1210.8240555433492,1210.8955600828046,1210.7624399714518,0.03482550692758073,874.6067099501091,886.9375662181682,876.9385692997641,872.1006850718126,862.2934988270636,1.2505477918517685
FT-013,1210.8270502489597,1210.8965928740345,1210.757497420239,0.03482929224054594,899.7233926516836,910.3418386122777,902.5053635226112,896.73995171614,892.597834867591,1.520345058452607
FT-014,843.583190546885,843.630050243499,843.5406553510771,0.024413960044162502,963.0868614775413,982.5703484671496,965.7982037305085,960.5184649981505,948.7611850277426,1.2901121418075123
FT-015,1685.172273985871,1685.2705514689096,1685.0893153104369,0.04916594170864843,962.883033571473,978.8590223892907,965.5223748060173,960.160472210801,950.0644366637517,1.3022834918697654
FT-016,870.5947196667247,870.6445532838661,870.5511700239324,0.025223448241784362,967.2980513141862,982.6590520685401,969.9481957866528,964.4931277655786,954.9833971803866,1.3170190507322121
FT-017,1684.1708015562401,1684.264407634248,1684.0859451448725,0.047921564661159134,963.0445524548425,982.7533423382316,965.7307566193588,960.5088259175975,948.8170107551283,1.2959592001488849
FT-018,1372.9191123009864,1372.997683690058,1372.8485441828032,0.040113609664140536,980.422438027575,998.3599555885412,983.2549206993921,977.8447214040514,967.5379132700485,1.3146068155169774
FT-019,1683.166364634833,1683.26232662497,1683.0821093374764,0.04920999287644243,963.0453163090323,983.7856538834135,965.6248348152288,960.3374353114888,949.269331655193,1.3454293142813007
FT-020,842.5773942493681,842.624259465518,842.5350038070779,0.02478589195624597,963.3235892455183,994.1845837268208,966.0232942432687,960.7144273833812,947.501450842558,1.2969596479291814
FT-021,842.0756790432796,842.1224037031269,842.033147766642,0.02474110207908792,963.2789284715731,991.4065647125229,965.900100453346,960.78786884497,946.0247929199916,1.2723722014800722
FT-022,1454.994982263801,1455.0784416487259,1454.920198358498,0.04279254330092346,1013.8599853437128,1031.0396689111074,1016.4947372485714,1011.0331473889783,999.7792065798594,1.3433287625466361
FT-023,1373.9225103480585,1374.0029575632857,1373.8540674237456,0.04058709105424273,980.4212867734888,997.417253063569,983.3517791601566,977.5795583957146,968.2150490053244,1.401590404635891
FT-024,944.6434806058313,944.6984245548081,944.5961664284047,0.027379538394405555,1013.8054388114421,1033.3746827166992,1016.416349113882,1011.063984934316,999.63219974352,1.2871316138365452
FT-025,843.080105891697,843.1277631649815,843.0381621542712,0.024762877657322352,963.2439588234024,988.1751993200247,965.7639074749649,960.7361998439518,947.918078663588,1.3047236827776925
FT-026,727.9951742528884,728.0375875622003,727.9575827820195,0.021479051544757308,1014.168080213055,1032.1152803172229,1016.9923818887036,1011.3062294193827,999.9946789119542,1.3691867366597237
FT-027,944.1420067072388,944.1949828507569,944.0933831173211,0.02745364380760897,1013.8565207197244,1035.1988995593508,1016.3542223052107,1011.0984915838559,998.5545121068548,1.2940592342849382
FT-028,1845.2675702568588,1845.3714278358416,1845.1623419189223,0.05470594113251171,1057.465322843472,1063.0117189214461,1060.0061878004767,1054.8746688276972,1047.5546058911905,1.2638959113625776
FT-029,1845.2657451181792,1845.3735977845588,1845.1689104992051,0.05288268727866536,1070.965956893128,1085.9088605244974,1073.2973908372999,1068.1964103160765,1063.1140670776354,1.2396830023498544
FT-030,943.6407760815548,943.6939445363817,943.5907638447397,0.027893126950737257,1013.782160621757,1034.6732477987935,1016.3046768281489,1011.0867446353868,997.3081145748021,1.3509453587603917
FT-031,923.6233927508699,923.6774627241765,923.5744842259206,0.027213650469680023,1057.5964004037503,1064.6841850280787,1059.8854968782284,1054.9518501192424,1041.547487894696,1.2154796227379434
FT-032,923.6242483918669,923.6775548079565,923.5784299297835,0.027216447286065752,1071.5163479969956,1096.3162617107012,1074.3064281661898,1068.7524562678664,1064.6716237330195,1.3373505220465653
FT-033,924.6276314779026,924.6807686357287,924.5813200631654,0.026720212825262588,1057.7246344641724,1064.7632179679465,1060.2593047973908,1055.5224966533285,1045.0483313759592,1.245241008611443
FT-034,924.6284568794595,924.682414112093,924.5817555901798,0.026317604765926112,1071.194488617538,1086.3274333241209,1073.7937312742429,1068.6907211707253,1064.7380309052535,1.2846760771846037
FT-035,924.1258165788284,924.180160162224,924.0777586734384,0.027240925960743383,1057.6607847493199,1064.7259970025725,1060.338482301454,1055.0311780453726,1043.0294036865268,1.2380418932721453
FT-036,924.1258325459405,924.1798853197247,924.080169273414,0.026460635490727424,1071.4321892574976,1092.4735550258451,1073.9285036159004,1068.937950833161,1064.7293012038544,1.2463305407572942
FT-037,1025.6898265569414,1025.748006596175,1025.6372240551368,0.029918064563215368,1095.46453629439,1103.2654741536019,1098.0912759786563,1092.8921077109414,1081.8746330427098,1.3060567861598344
FT-038,1025.690862799387,1025.7477618544553,1025.6366460844254,0.03053855348875405,1107.23462155222,1121.1202767189984,1109.9813621005937,1104.387069581245,1102.96307424481,1.4209852699776995
FT-039,1024.6867091528734,1024.7462095090473,1024.6320318882358,0.030246839592871208,1095.258554693031,1102.7683739040208,1097.9305754275408,1092.8018718375124,1078.4275768114187,1.280644822824388
FT-040,1024.6859401518484,1024.745883352035,1024.635571164931,0.029981088190971315,1107.6170160866384,1125.2454211495194,1110.1572639572094,1104.5491052697557,1102.7951743386006,1.4042236421118546
FT-041,1025.1883020825837,1025.2470030177271,1025.1352405717657,0.029774195091337618,1095.323555128769,1102.8408436153272,1098.0563633672148,1092.842493768012,1078.72885869897,1.2868239953887037
FT-042,1025.1886386302892,1025.247027968808,1025.1370733359656,0.029800674899331938,1107.3546178711229,1123.5890952400546,1110.207654223817,1104.6921888972022,1102.8541050786582,1.4123877129358002
FT-043,1005.1720417712519,1005.2308196005795,1005.1142487241556,0.029859711948434085,1156.3855354906916,1177.111414619113,1158.8826604052406,1153.7486667864507,1140.2857042395556,1.3065927903911045
FT-044,923.1212556300736,923.1751342108996,923.074014873022,0.026964574266534043,1057.6205174785268,1064.765986981599,1060.2868398891017,1054.9388995609593,1041.2142873846992,1.2744490931735233
FT-045,923.1220202532094,923.1748329305268,923.0750959305833,0.02666686020245404,1071.5859281352352,1095.0634189274017,1074.3009551702821,1068.7521554752245,1064.7794972295344,1.329186310317866
FT-046,1004.1671268211271,1004.2261217749128,1004.1153691754812,0.029368054885824647,1156.358765017695,1178.0238250061677,1158.835709078045,1153.6774251130128,1138.0932935777616,1.2480085387190165
FT-047,995.65692637966,995.7086397617137,995.6104601531781,0.027094922482806236,1120.1782129636545,1126.083653767903,1122.3885342095439,1117.8975231103082,1111.0922057540333,1.1569512021216075
FT-048,995.6559728029966,995.70918172837,995.6074428817482,0.027343572681471213,1136.4866514442347,1153.569062908047,1138.6681222264142,1133.988936628819,1126.1802677626017,1.1929094187675182
FT-049,1097.2225774589213,1097.2878628497194,1097.1653132091005,0.03143648318333642,1176.9292956095635,1192.3969943706786,1179.3552542462573,1174.2872148080621,1163.250109913586,1.1924514707526235
FT-050,1004.6696238496979,1004.7279192531678,1004.6184698161242,0.029440758508718325,1156.3925786840525,1179.3259458956536,1158.8210746310124,1153.76426801242,1138.7118691983476,1.295796204185867
FT-051,1069.2050570468462,1069.2674701099527,1069.1500824304105,0.030924230964059714,1157.7638325982018,1163.3854165077216,1160.088364981479,1155.2213391757566,1149.20816373825,1.1956236333629697
FT-052,1069.2070748658969,1069.267262316396,1069.1527914655323,0.031031868995996543,1173.5811959662594,1189.0482915242505,1175.8907247598565,1171.315212620077,1163.5611025492353,1.1500091708878202
FT-053,1097.7239927039507,1097.786081052441,1097.6690565594126,0.031902781018302816,1176.67239430599,1190.5241737784906,1178.8370264710347,1174.3201926093266,1163.6889744852956,1.0738120033017726
FT-054,1106.2349666883933,1106.2984588554452,1106.1774103781204,0.03206267087437158,1180.403233758563,1196.6204858595336,1183.2722565479864,1177.6164536741317,1165.9355028214,1.351917574115685
FT-055,1105.7327676680493,1105.7968689408365,1105.676441948791,0.032338895927714856,1180.3586166880116,1197.1622159404142,1183.0401990870541,1177.5454495086724,1165.815387848887,1.3546287736842517
FT-056,1178.2689676482953,1178.3381296315554,1178.209676243099,0.034618791860332704,1244.9133772041282,1263.400026280825,1247.491725418386,1242.276386378739,1231.3467261131777,1.2773380949643511
